PČ;Názov kraja;Názov okresu;"Názov ZÚJ 
(obec/mestská časť/vojenský obvod)";Názov časti obce;Názov ZSJ;Matričný úrad (m);"Výmera ZÚJ 
v ha";Hustota obyvateľstva (obyv./km?);Počet obyvateľov spolu ;Muži;Ženy;"Počet obyvateľov
v predproduktívnom veku (0 – 14) ";"Počet obyvateľov
v produktívnom veku (15 – 64)";"Počet obyvateľov 
v poproduktívnom veku (65+) ";Ekonomicky aktívne obyvateľstvo;"Pracujúci 
v primárnom sektore";"Pracujúci 
v sekundárnom sektore";"Pracujúci 
v terciárnom sektore";"Pracujúci 
v kvartérnom sektore ";Počet trvalo obývaných domov spolu;Počet trvalo obývaných bytov spolu;"Počet trvalo obývaných bytov 
v bytových domoch";"Počet trvalo obývaných bytov 
v rodinných domoch";Počet obyvateľov so súčasným pobytom (SP) spolu;Obyvateľstvo (SP) odchádzajúce za prácou;Počet cenozvých domácností (SP);"Kód 
kraja";"Kód 
okresu";"Kód ZÚJ 
(obec/mestská časť/vojenský obvod)";"Kód 
časti obce";"Kód 
ZSJ";Typ územnej úrovne;;;
59;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Mlynské rameno;;;;9;5;4;2;6;1;6;0;0;2;2;4;4;0;0;16;6;7;1;102;529320;;2055410;základná sídelná jednotka;;;
60;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Ostredky - juh;;;;3 728;1 620;2 108;502;2 276;950;1 932;5;157;646;790;106;1 730;1 696;0;3 711;1 365;2 197;1;102;529320;;2054940;základná sídelná jednotka;;;
61;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Ostredky - sever;;;;4 440;1 961;2 479;694;2 826;920;2 332;5;214;787;939;108;1 956;1 838;0;4 357;1 724;2 445;1;102;529320;;2054860;základná sídelná jednotka;;;
62;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Pálenisko;;;;804;395;409;159;589;56;506;2;63;151;215;100;378;234;68;1 205;561;743;1;102;529320;;2043150;základná sídelná jednotka;;;
63;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Plynárenské závody;;;;642;329;313;119;462;61;399;1;49;120;183;72;317;32;44;1 228;550;813;1;102;529320;;2043070;základná sídelná jednotka;;;
64;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Pole pri letisku Ivanka;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;102;529320;;2054430;základná sídelná jednotka;;;
65;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Pošeň - východ;;;;3 223;1 491;1 732;462;1 998;763;1 683;8;147;563;692;123;1 425;1 382;30;3 290;1 223;1 836;1;102;529320;;2055240;základná sídelná jednotka;;;
66;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Pošeň - západ;;;;5 042;2 341;2 701;766;3 269;1 007;2 731;6;260;881;1 114;142;2 129;2 066;6;4 845;1 839;2 628;1;102;529320;;2055320;základná sídelná jednotka;;;
67;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Pri letisku Ivanka;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;1;102;529320;;2054010;základná sídelná jednotka;;;
68;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Pribinova ulica;;;;121;69;52;17;96;8;63;0;6;19;17;10;82;81;1;129;38;101;1;102;529320;;2799350;základná sídelná jednotka;;;
69;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Priemyselný obvod Miletičova;;;;894;423;471;215;613;66;535;0;37;139;278;9;446;396;1;1 353;667;904;1;102;529320;;2046760;základná sídelná jednotka;;;
70;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Prievoz - sever;;;;1 662;939;723;282;1 238;142;876;1;81;255;321;16;294;14;6;1 458;505;982;1;102;529320;;2793230;základná sídelná jednotka;;;
71;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Prievoz - východ;;;;4 122;2 098;2 024;584;2 933;605;2 055;5;156;699;769;572;1 243;677;476;5 991;1 967;3 849;1;102;529320;;2055670;základná sídelná jednotka;;;
72;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Prievoz - západ;;;;3 518;1 561;1 957;436;2 401;681;2 047;4;212;681;818;394;1 369;1 031;326;3 350;1 352;1 853;1;102;529320;;2055750;základná sídelná jednotka;;;
73;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Prístav;;;;250;129;121;46;178;26;147;0;21;29;65;41;106;68;19;464;181;244;1;102;529320;;2043230;základná sídelná jednotka;;;
74;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Ružová dolina;;;;5 611;2 535;3 076;852;3 482;1 277;2 951;8;269;984;1 194;160;2 675;2 430;7;5 971;2 252;3 568;1;102;529320;;2042850;základná sídelná jednotka;;;
75;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Sídlisko >500 bytov<;;;;2 713;1 282;1 431;407;1 756;550;1 512;3;108;441;685;137;1 262;1 259;0;2 807;1 130;1 677;1;102;529320;;2042690;základná sídelná jednotka;;;
76;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Slovnaft;;;;211;104;107;34;165;12;130;0;27;52;36;2;92;92;0;227;112;142;1;102;529320;;2056210;základná sídelná jednotka;;;
77;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Starý Ružinov;;;;4 718;2 241;2 477;627;2 922;1 169;2 677;13;225;800;1 138;91;1 801;1 776;16;4 267;1 629;2 356;1;102;529320;;2046840;základná sídelná jednotka;;;
78;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Strojnícka ulica;;;;865;436;429;146;617;102;506;0;58;173;181;183;320;150;152;1 032;391;559;1;102;529320;;2055590;základná sídelná jednotka;;;
79;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Štrkovec - juh;;;;4 564;1 969;2 595;673;2 701;1 190;2 343;6;193;756;983;147;2 201;2 197;0;4 653;1 773;2 818;1;102;529320;;2054780;základná sídelná jednotka;;;
80;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Štrkovec - sever;;;;4 768;2 204;2 564;880;3 022;866;2 544;6;235;784;1 113;174;2 107;1 881;39;5 037;1 861;2 935;1;102;529320;;2054600;základná sídelná jednotka;;;
81;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Trávniky - východ;;;;6 440;2 825;3 615;1 066;3 864;1 510;3 332;8;299;1 040;1 447;140;2 975;2 943;9;6 466;2 427;3 766;1;102;529320;;2055160;základná sídelná jednotka;;;
82;Bratislavský;Bratislava II;Bratislava - Ružinov; ;Trávniky - západ;;;;4 105;1 868;2 237;650;2 508;947;2 126;5;201;691;855;104;1 872;1 769;0;4 196;1 510;2 430;1;102;529320;;2055080;základná sídelná jednotka;;;
