PČ;Názov kraja;Názov okresu;"Názov ZÚJ 
(obec/mestská časť/vojenský obvod)";Názov časti obce;Názov ZSJ;Matričný úrad (m);"Výmera ZÚJ 
v ha";Hustota obyvateľstva (obyv./km?);Počet obyvateľov spolu ;Muži;Ženy;"Počet obyvateľov
v predproduktívnom veku (0 – 14) ";"Počet obyvateľov
v produktívnom veku (15 – 64)";"Počet obyvateľov 
v poproduktívnom veku (65+) ";Ekonomicky aktívne obyvateľstvo;"Pracujúci 
v primárnom sektore";"Pracujúci 
v sekundárnom sektore";"Pracujúci 
v terciárnom sektore";"Pracujúci 
v kvartérnom sektore ";Počet trvalo obývaných domov spolu;Počet trvalo obývaných bytov spolu;"Počet trvalo obývaných bytov 
v bytových domoch";"Počet trvalo obývaných bytov 
v rodinných domoch";Počet obyvateľov so súčasným pobytom (SP) spolu;Obyvateľstvo (SP) odchádzajúce za prácou;Počet cenozvých domácností (SP);"Kód 
kraja";"Kód 
okresu";"Kód ZÚJ 
(obec/mestská časť/vojenský obvod)";"Kód 
časti obce";"Kód 
ZSJ";Typ územnej úrovne;;;
11160;Košický;Michalovce;Tušická Nová Ves;;;;433;121;524;262;262;68;354;102;289;6;78;81;58;146;149;4;144;477;144;197;8;807;523216;;;obec;;;
11161;Košický;Michalovce;Tušická Nová Ves; ;Tušická Nová Ves;;;;524;262;262;68;354;102;289;6;78;81;58;146;149;4;144;477;144;197;8;807;523216;;2661320;základná sídelná jednotka;;;
11162;Košický;Michalovce;Veľké Kapušany;;;m;2962;297;8 799;4 188;4 611;1 283;6 070;1 446;3 911;96;515;1 078;845;1 010;2 841;2 004;810;8 272;1 041;3 857;8;807;543853;;;obec;;;
11163;Košický;Michalovce;Veľké Kapušany;Veľké Kapušany;;;;;8 574;4 069;4 505;1 252;5 923;1 399;3 812;86;497;1 055;831;945;2 776;2 004;746;8 065;1 012;3 763;8;807;543853;410287;;časť obce;;;
11164;Košický;Michalovce;Veľké Kapušany;Veľké Kapušany;Nilaše I;;;;1 355;649;706;144;1 005;206;714;17;104;214;173;149;479;349;129;1 342;340;575;8;807;543853;410287;2680970;základná sídelná jednotka;;;
11165;Košický;Michalovce;Veľké Kapušany;Veľké Kapušany;Nilaše II;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;807;543853;410287;2792000;základná sídelná jednotka;;;
11166;Košický;Michalovce;Veľké Kapušany;Veľké Kapušany;Priemyselný obvod;;;;13;9;4;2;11;0;5;1;1;0;0;4;4;0;4;11;0;7;8;807;543853;410287;2792180;základná sídelná jednotka;;;
11167;Košický;Michalovce;Veľké Kapušany;Veľké Kapušany;Sídlisko P.O.Hviezdoslava I;;;;1 627;771;856;199;1 167;261;783;13;113;225;150;60;609;609;0;1 465;360;738;8;807;543853;410287;2680540;základná sídelná jednotka;;;
11168;Košický;Michalovce;Veľké Kapušany;Veľké Kapušany;Sídlisko P.O.Hviezdoslava II;;;;1 623;742;881;204;1 114;305;707;17;87;188;133;60;600;588;0;1 490;330;737;8;807;543853;410287;2815900;základná sídelná jednotka;;;
11169;Košický;Michalovce;Veľké Kapušany;Veľké Kapušany;Šibeničný hon;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;807;543853;410287;2681190;základná sídelná jednotka;;;
11170;Košický;Michalovce;Veľké Kapušany;Veľké Kapušany;Veľké Kapušany - juh I;;;;685;321;364;103;456;126;324;7;50;93;78;192;193;0;192;610;152;271;8;807;543853;410287;2680890;základná sídelná jednotka;;;
11171;Košický;Michalovce;Veľké Kapušany;Veľké Kapušany;Veľké Kapušany - juh II;;;;187;101;86;31;148;8;19;0;1;4;1;1;1;0;0;292;22;182;8;807;543853;410287;2791960;základná sídelná jednotka;;;
11172;Košický;Michalovce;Veľké Kapušany;Veľké Kapušany;Veľké Kapušany - stred;;;;1 347;644;703;220;922;205;591;13;67;147;143;90;454;404;45;1 241;241;595;8;807;543853;410287;2680460;základná sídelná jednotka;;;
11173;Košický;Michalovce;Veľké Kapušany;Veľké Kapušany;Veľké Kapušany - východ I;;;;928;435;493;97;629;202;440;15;51;141;111;281;282;2;274;849;176;367;8;807;543853;410287;2680710;základná sídelná jednotka;;;
11174;Košický;Michalovce;Veľké Kapušany;Veľké Kapušany;Veľké Kapušany - východ II;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;807;543853;410287;2791880;základná sídelná jednotka;;;
11175;Košický;Michalovce;Veľké Kapušany;Veľké Kapušany;Veľké Kapušany - západ;;;;809;397;412;252;471;86;229;3;23;43;42;108;154;52;102;765;67;291;8;807;543853;410287;2681010;základná sídelná jednotka;;;
11176;Košický;Michalovce;Veľké Kapušany;Veškovce;;;;;225;119;106;31;147;47;99;10;18;23;14;65;65;0;64;207;48;94;8;807;543853;412831;;časť obce;;;
11177;Košický;Michalovce;Veľké Kapušany;Veškovce;Veškovce;;;;225;119;106;31;147;47;99;10;18;23;14;65;65;0;64;207;48;94;8;807;543853;412831;2680620;základná sídelná jednotka;;;
11178;Košický;Michalovce;Veľké Raškovce;;;;1200;24;287;150;137;15;217;55;170;20;15;62;26;97;97;0;91;256;60;120;8;807;543870;;;obec;;;
11179;Košický;Michalovce;Veľké Raškovce; ;Veľké Raškovce;;;;287;150;137;15;217;55;170;20;15;62;26;97;97;0;91;256;60;120;8;807;543870;;2682590;základná sídelná jednotka;;;
11180;Košický;Michalovce;Veľké Slemence;;;;997;59;588;303;285;121;393;74;277;27;23;45;56;144;144;0;144;514;80;217;8;807;543888;;;obec;;;
11181;Košický;Michalovce;Veľké Slemence; ;Veľké Slemence;;;;588;303;285;121;393;74;277;27;23;45;56;144;144;0;144;514;80;217;8;807;543888;;2685850;základná sídelná jednotka;;;
11182;Košický;Michalovce;Vinné;;;m;2978;66;1 965;940;1 025;301;1 303;361;957;16;194;295;207;547;552;5;461;2 081;553;1 005;8;807;523259;;;obec;;;
11183;Košický;Michalovce;Vinné; ;Vinné;;;;1 965;940;1 025;301;1 303;361;957;16;194;295;207;547;552;5;461;2 081;553;1 005;8;807;523259;;2695060;základná sídelná jednotka;;;
11184;Košický;Michalovce;Vojany;;;m;1094;84;920;452;468;220;598;102;341;7;56;80;47;172;187;18;165;830;81;364;8;807;543942;;;obec;;;
11185;Košický;Michalovce;Vojany; ;Vojany;;;;920;452;468;220;598;102;341;7;56;80;47;172;187;18;165;830;81;364;8;807;543942;;2699720;základná sídelná jednotka;;;
11186;Košický;Michalovce;Voľa;;;;578;45;261;131;130;46;172;43;116;1;37;39;19;73;73;0;71;221;60;99;8;807;523275;;;obec;;;
11187;Košický;Michalovce;Voľa;Stankovce;;;;;10;6;4;0;8;2;3;1;0;1;0;3;3;0;3;10;1;4;8;807;523275;415017;;časť obce;;;
11188;Košický;Michalovce;Voľa;Stankovce;Stankovce;;;;10;6;4;0;8;2;3;1;0;1;0;3;3;0;3;10;1;4;8;807;523275;415017;2701130;základná sídelná jednotka;;;
11189;Košický;Michalovce;Voľa;Voľa;;;;;251;125;126;46;164;41;113;0;37;38;19;70;70;0;68;211;59;95;8;807;523275;410706;;časť obce;;;
11190;Košický;Michalovce;Voľa;Voľa;Voľa;;;;251;125;126;46;164;41;113;0;37;38;19;70;70;0;68;211;59;95;8;807;523275;410706;2701210;základná sídelná jednotka;;;
11191;Košický;Michalovce;Vrbnica;;;;494;241;1 194;597;597;430;710;54;315;7;37;51;29;135;150;40;108;1 085;61;394;8;807;523283;;;obec;;;
11192;Košický;Michalovce;Vrbnica; ;Rómska osada;;;;687;339;348;306;375;6;133;0;11;8;1;34;48;40;8;614;2;211;8;807;523283;;2704230;základná sídelná jednotka;;;
11193;Košický;Michalovce;Vrbnica; ;Vrbnica;;;;507;258;249;124;335;48;182;7;26;43;28;101;102;0;100;471;61;183;8;807;523283;;2704310;základná sídelná jednotka;;;
11194;Košický;Michalovce;Vysoká nad Uhom;;;;1535;51;786;392;394;110;521;155;345;24;101;78;45;217;222;7;212;696;150;299;8;807;523291;;;obec;;;
11195;Košický;Michalovce;Vysoká nad Uhom;Vysocký Dvor;;;;;157;82;75;20;104;33;65;6;14;17;6;46;46;0;46;130;22;59;8;807;523291;415005;;časť obce;;;
11196;Košický;Michalovce;Vysoká nad Uhom;Vysocký Dvor;Vysocký Dvor;;;;157;82;75;20;104;33;65;6;14;17;6;46;46;0;46;130;22;59;8;807;523291;415005;2711010;základná sídelná jednotka;;;
11197;Košický;Michalovce;Vysoká nad Uhom;Vysoká nad Uhom;;;;;629;310;319;90;417;122;280;18;87;61;39;171;176;7;166;566;133;240;8;807;523291;410822;;časť obce;;;
11198;Košický;Michalovce;Vysoká nad Uhom;Vysoká nad Uhom;Vysoká nad Uhom;;;;629;310;319;90;417;122;280;18;87;61;39;171;176;7;166;566;133;240;8;807;523291;410822;2711100;základná sídelná jednotka;;;
11199;Košický;Michalovce;Zalužice;;;m;1961;60;1 186;572;614;168;790;228;587;22;118;177;133;341;341;0;337;1 057;294;456;8;807;523241;;;obec;;;
11200;Košický;Michalovce;Zalužice;Malé Zalužice;;;;;532;249;283;75;345;112;253;6;47;75;59;147;147;0;144;442;127;197;8;807;523241;405887;;časť obce;;;
11201;Košický;Michalovce;Zalužice;Malé Zalužice;Malé Zalužice;;;;532;249;283;75;345;112;253;6;47;75;59;147;147;0;144;442;127;197;8;807;523241;405887;2357330;základná sídelná jednotka;;;
11202;Košický;Michalovce;Zalužice;Veľké Zalužice;;;;;654;323;331;93;445;116;334;16;71;102;74;194;194;0;193;615;184;259;8;807;523241;410421;;časť obce;;;
11203;Košický;Michalovce;Zalužice;Veľké Zalužice;Veľké Zalužice;;;;654;323;331;93;445;116;334;16;71;102;74;194;194;0;193;615;184;259;8;807;523241;410421;2687710;základná sídelná jednotka;;;
11204;Košický;Michalovce;Závadka;;;;502;91;456;219;237;81;296;79;199;19;35;60;27;108;125;20;103;408;91;178;8;807;523348;;;obec;;;
11205;Košický;Michalovce;Závadka; ;Závadka;;;;456;219;237;81;296;79;199;19;35;60;27;108;125;20;103;408;91;178;8;807;523348;;2725070;základná sídelná jednotka;;;
11206;Košický;Michalovce;Zbudza;;;;907;59;535;276;259;78;355;102;245;11;65;46;45;145;145;0;144;471;101;202;8;807;523356;;;obec;;;
11207;Košický;Michalovce;Zbudza; ;Zbudza;;;;535;276;259;78;355;102;245;11;65;46;45;145;145;0;144;471;101;202;8;807;523356;;2729730;základná sídelná jednotka;;;
11208;Košický;Michalovce;Zemplínska Široká;;;m;1625;60;982;486;496;141;693;148;448;11;126;113;67;235;235;0;233;831;211;354;8;807;523364;;;obec;;;
11209;Košický;Michalovce;Zemplínska Široká; ;Zemplínska Široká;;;;982;486;496;141;693;148;448;11;126;113;67;235;235;0;233;831;211;354;8;807;523364;;2732010;základná sídelná jednotka;;;
11210;Košický;Michalovce;Zemplínske Kopčany;;;;966;50;486;254;232;165;300;21;98;1;7;19;5;66;66;0;65;478;9;178;8;807;522635;;;obec;;;
11211;Košický;Michalovce;Zemplínske Kopčany; ;Zemplínske Kopčany;;;;486;254;232;165;300;21;98;1;7;19;5;66;66;0;65;478;9;178;8;807;522635;;2262031;základná sídelná jednotka;;;
11212;Košický;Michalovce;Žbince;;;m;1507;68;1 022;509;513;218;683;121;381;11;75;72;51;180;184;5;177;954;97;356;8;807;523372;;;obec;;;
11213;Košický;Michalovce;Žbince; ;Rómska osada;;;;388;197;191;123;255;10;103;0;13;10;8;36;36;0;36;389;6;124;8;807;523372;;2740460;základná sídelná jednotka;;;
11214;Košický;Michalovce;Žbince; ;Žbince;;;;634;312;322;95;428;111;278;11;62;62;43;144;148;5;141;565;94;232;8;807;523372;;2740540;základná sídelná jednotka;;;
11215;Košický;Rožňava;Ardovo;;;;1121;14;158;84;74;28;100;30;78;0;22;19;16;52;56;0;55;147;33;69;8;808;525537;;;obec;;;
11216;Košický;Rožňava;Ardovo; ;Ardovo;;;;158;84;74;28;100;30;78;0;22;19;16;52;56;0;55;147;33;69;8;808;525537;;2002550;základná sídelná jednotka;;;
11217;Košický;Rožňava;Betliar;;;;2467;37;923;479;444;109;616;198;485;28;79;131;101;289;308;28;270;864;215;407;8;808;525545;;;obec;;;
11218;Košický;Rožňava;Betliar; ;Betliar;;;;923;479;444;109;616;198;485;28;79;131;101;289;308;28;270;864;215;407;8;808;525545;;2028430;základná sídelná jednotka;;;
11219;Košický;Rožňava;Bohúňovo;;;;681;41;282;141;141;35;187;60;135;0;45;16;30;97;103;0;97;247;72;126;8;808;525553;;;obec;;;
11220;Košický;Rožňava;Bohúňovo;Bohúňovo;;;;;227;116;111;30;148;49;104;0;34;12;25;78;83;0;77;198;51;100;8;808;525553;401365;;časť obce;;;
11221;Košický;Rožňava;Bohúňovo;Bohúňovo;Bohúňovo;;;;227;116;111;30;148;49;104;0;34;12;25;78;83;0;77;198;51;100;8;808;525553;401365;2034670;základná sídelná jednotka;;;
11222;Košický;Rožňava;Bohúňovo;Tiba;;;;;55;25;30;5;39;11;31;0;11;4;5;19;20;0;20;49;22;26;8;808;525553;401377;;časť obce;;;
11223;Košický;Rožňava;Bohúňovo;Tiba;Tiba;;;;55;25;30;5;39;11;31;0;11;4;5;19;20;0;20;49;22;26;8;808;525553;401377;2034750;základná sídelná jednotka;;;
11224;Košický;Rožňava;Bôrka;;;;2374;26;616;301;315;233;350;33;202;3;13;29;13;87;92;0;91;546;28;199;8;808;525561;;;obec;;;
11225;Košický;Rožňava;Bôrka; ;Bôrka;;;;616;301;315;233;350;33;202;3;13;29;13;87;92;0;91;546;28;199;8;808;525561;;2037180;základná sídelná jednotka;;;
11226;Košický;Rožňava;Brdárka;;;;613;10;63;24;39;16;37;10;21;3;0;1;5;18;19;0;17;65;3;31;8;808;525570;;;obec;;;
11227;Košický;Rožňava;Brdárka; ;Brdárka;;;;63;24;39;16;37;10;21;3;0;1;5;18;19;0;17;65;3;31;8;808;525570;;2061640;základná sídelná jednotka;;;
11228;Košický;Rožňava;Bretka;;;;954;42;396;191;205;81;251;64;161;4;36;19;20;95;102;4;91;353;35;162;8;808;514578;;;obec;;;
11229;Košický;Rožňava;Bretka; ;Bretka;;;;396;191;205;81;251;64;161;4;36;19;20;95;102;4;91;353;35;162;8;808;514578;;2063930;základná sídelná jednotka;;;
11230;Košický;Rožňava;Brzotín;;;;2057;65;1 336;648;688;245;903;188;619;10;118;133;93;291;313;27;281;1 217;216;530;8;808;560022;;;obec;;;
11231;Košický;Rožňava;Brzotín; ;Bak;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;808;560022;;2532510;základná sídelná jednotka;;;
11232;Košický;Rožňava;Brzotín; ;Brzotín;;;;1 336;648;688;245;903;188;619;10;118;133;93;291;313;27;281;1 217;217;530;8;808;560022;;2070550;základná sídelná jednotka;;;
11233;Košický;Rožňava;Čierna Lehota;;;;3187;19;608;317;291;101;412;95;296;26;76;62;27;178;184;8;175;527;113;243;8;808;525596;;;obec;;;
11234;Košický;Rožňava;Čierna Lehota; ;Čierna Lehota;;;;608;317;291;101;412;95;296;26;76;62;27;178;184;8;175;527;113;243;8;808;525596;;2095890;základná sídelná jednotka;;;
11235;Košický;Rožňava;Čoltovo;;;;1537;31;477;235;242;82;330;65;221;9;36;31;27;123;138;18;118;435;58;193;8;808;525600;;;obec;;;
11236;Košický;Rožňava;Čoltovo; ;Čoltovo;;;;477;235;242;82;330;65;221;9;36;31;27;123;138;18;118;435;58;193;8;808;525600;;2099451;základná sídelná jednotka;;;
11237;Košický;Rožňava;Čoltovo; ;Čoltovo;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;808;525600;;2099452;základná sídelná jednotka;;;
11238;Košický;Rožňava;Čučma;;;;1170;49;576;294;282;64;413;99;302;8;54;76;73;167;187;21;161;530;141;248;8;808;560031;;;obec;;;
11239;Košický;Rožňava;Čučma; ;Čučma;;;;576;294;282;64;413;99;302;8;54;76;73;167;187;21;161;530;141;248;8;808;560031;;2531710;základná sídelná jednotka;;;
11240;Košický;Rožňava;Dedinky;;;;364;65;237;111;126;13;160;64;143;2;22;33;44;81;82;0;78;208;61;104;8;808;525618;;;obec;;;
11241;Košický;Rožňava;Dedinky;Dedinky;;;;;210;101;109;11;145;54;129;2;21;28;41;66;67;0;64;180;52;88;8;808;525618;402217;;časť obce;;;
11242;Košický;Rožňava;Dedinky;Dedinky;Dedinky;;;;210;101;109;11;145;54;129;2;21;28;41;66;67;0;64;180;52;88;8;808;525618;402217;2101880;základná sídelná jednotka;;;
11243;Košický;Rožňava;Dedinky;Dobšinská Maša;;;;;27;10;17;2;15;10;14;0;1;5;3;15;15;0;14;28;9;16;8;808;525618;413562;;časť obce;;;
11244;Košický;Rožňava;Dedinky;Dobšinská Maša;Dobšinská Maša;;;;27;10;17;2;15;10;14;0;1;5;3;15;15;0;14;28;9;16;8;808;525618;413562;2101960;základná sídelná jednotka;;;
11245;Košický;Rožňava;Dlhá Ves;;;;1075;49;522;250;272;50;377;95;305;8;93;71;48;152;164;13;149;466;152;208;8;808;525626;;;obec;;;
11246;Košický;Rožňava;Dlhá Ves; ;Dlhá Ves;;;;522;250;272;50;377;95;305;8;93;71;48;152;164;13;149;466;152;208;8;808;525626;;2110100;základná sídelná jednotka;;;
11247;Košický;Rožňava;Dobšiná;;;m;8273;62;5 102;2 559;2 543;1 236;3 220;646;2 000;116;338;388;404;788;1 311;587;707;4 801;348;2 090;8;808;525634;;;obec;;;
11248;Košický;Rožňava;Dobšiná; ;Dobšiná;;;;4 270;2 139;2 131;921;2 746;603;1 751;101;289;353;371;746;1 176;478;683;3 962;351;1 752;8;808;525634;;2113710;základná sídelná jednotka;;;
11249;Košický;Rožňava;Dobšiná; ;Lániho huta;;;;2;2;0;0;2;0;1;1;0;0;0;2;2;0;2;3;0;2;8;808;525634;;2113970;základná sídelná jednotka;;;
11250;Košický;Rožňava;Dobšiná; ;Medenka;;;;13;8;5;1;10;2;8;1;2;1;0;5;5;0;3;10;2;6;8;808;525634;;2114010;základná sídelná jednotka;;;
11251;Košický;Rožňava;Dobšiná; ;Rómska osada;;;;608;309;299;286;318;4;130;3;24;5;2;6;52;52;0;578;5;222;8;808;525634;;2113620;základná sídelná jednotka;;;
11252;Košický;Rožňava;Dobšiná; ;Vlčia dolina;;;;189;91;98;25;129;35;102;8;22;28;29;22;69;57;12;191;53;88;8;808;525634;;2113890;základná sídelná jednotka;;;
11253;Košický;Rožňava;Dobšiná; ;Vyšný hámor;;;;20;10;10;3;15;2;8;2;1;1;2;7;7;0;7;57;5;20;8;808;525634;;2114190;základná sídelná jednotka;;;
11254;Košický;Rožňava;Drnava;;;;2690;26;710;347;363;164;440;106;298;10;61;82;48;178;189;13;173;673;101;266;8;808;525642;;;obec;;;
11255;Košický;Rožňava;Drnava; ;Drnava;;;;710;347;363;164;440;106;298;10;61;82;48;178;189;13;173;673;101;266;8;808;525642;;2130630;základná sídelná jednotka;;;
11256;Košický;Rožňava;Gemerská Hôrka;;;;1279;101;1 288;613;675;192;912;184;627;10;215;90;88;304;366;76;284;1 172;87;536;8;808;525651;;;obec;;;
11257;Košický;Rožňava;Gemerská Hôrka; ;Gemerská Hôrka;;;;1 288;613;675;192;912;184;627;10;215;90;88;304;366;76;284;1 172;87;536;8;808;525651;;2149060;základná sídelná jednotka;;;
11258;Košický;Rožňava;Gemerská Panica;;;;1490;40;591;286;305;68;410;113;308;14;65;67;50;202;202;0;195;544;127;270;8;808;514748;;;obec;;;
11259;Košický;Rožňava;Gemerská Panica; ;Gemerská Panica;;;;591;286;305;68;410;113;308;14;65;67;50;202;202;0;195;544;127;270;8;808;514748;;2149140;základná sídelná jednotka;;;
11260;Košický;Rožňava;Gemerská Poloma;;;;5763;34;1 945;968;977;318;1 288;339;910;63;131;227;215;507;539;41;494;1 701;404;734;8;808;525669;;;obec;;;
11261;Košický;Rožňava;Gemerská Poloma; ;Gemerská Poloma;;;;1 945;968;977;318;1 288;339;910;63;131;227;215;507;539;41;494;1 701;404;734;8;808;525669;;2149310;základná sídelná jednotka;;;
11262;Košický;Rožňava;Gočaltovo;;;;1068;21;228;113;115;47;142;39;107;9;23;28;17;60;69;12;56;200;51;94;8;808;525693;;;obec;;;
11263;Košický;Rožňava;Gočaltovo; ;Gočaltovo;;;;228;113;115;47;142;39;107;9;23;28;17;60;69;12;56;200;51;94;8;808;525693;;2151710;základná sídelná jednotka;;;
11264;Košický;Rožňava;Gočovo;;;;1470;21;316;157;159;28;215;73;176;11;16;57;45;120;121;0;119;280;79;142;8;808;525707;;;obec;;;
11265;Košický;Rožňava;Gočovo; ;Gočovo;;;;316;157;159;28;215;73;176;11;16;57;45;120;121;0;119;280;79;142;8;808;525707;;2151800;základná sídelná jednotka;;;
11266;Košický;Rožňava;Hanková;;;;1083;8;83;42;41;29;46;8;29;0;4;5;4;22;22;0;22;72;4;33;8;808;525715;;;obec;;;
11267;Košický;Rožňava;Hanková; ;Hanková;;;;83;42;41;29;46;8;29;0;4;5;4;22;22;0;22;72;4;33;8;808;525715;;2157160;základná sídelná jednotka;;;
11268;Košický;Rožňava;Henckovce;;;;1003;40;397;211;186;73;262;62;176;5;42;39;29;113;119;0;114;355;73;156;8;808;525723;;;obec;;;
11269;Košický;Rožňava;Henckovce; ;Henckovce;;;;397;211;186;73;262;62;176;5;42;39;29;113;119;0;114;355;73;156;8;808;525723;;2160200;základná sídelná jednotka;;;
11270;Košický;Rožňava;Honce;;;;807;42;336;171;165;33;240;63;184;4;44;51;43;103;115;16;98;315;109;141;8;808;525731;;;obec;;;
11271;Košický;Rožňava;Honce; ;Honce;;;;336;171;165;33;240;63;184;4;44;51;43;103;115;16;98;315;109;141;8;808;525731;;2168950;základná sídelná jednotka;;;
11272;Košický;Rožňava;Hrhov;;;;3608;28;1 020;514;506;117;699;204;521;25;118;126;99;303;321;16;301;956;224;440;8;808;525740;;;obec;;;
11273;Košický;Rožňava;Hrhov; ;Hrhov;;;;1 020;514;506;117;699;204;521;25;118;126;99;303;321;16;301;956;224;440;8;808;525740;;2192580;základná sídelná jednotka;;;
11274;Košický;Rožňava;Hrušov;;;;1680;20;335;174;161;53;229;53;172;8;23;47;18;86;87;0;85;311;56;136;8;808;525758;;;obec;;;
11275;Košický;Rožňava;Hrušov; ;Hrušov;;;;335;174;161;53;229;53;172;8;23;47;18;86;87;0;85;311;56;136;8;808;525758;;2199750;základná sídelná jednotka;;;
11276;Košický;Rožňava;Jablonov nad Turňou;;;m;2446;31;752;371;381;82;505;165;388;11;80;103;83;225;234;13;216;689;181;324;8;808;525782;;;obec;;;
11277;Košický;Rožňava;Jablonov nad Turňou; ;Jablonov nad Turňou;;;;752;371;381;82;505;165;388;11;80;103;83;225;234;13;216;689;181;324;8;808;525782;;2217240;základná sídelná jednotka;;;
11278;Košický;Rožňava;Jovice;;;;1008;75;751;371;380;149;494;108;328;3;80;99;49;180;199;22;173;733;149;307;8;808;560049;;;obec;;;
11279;Košický;Rožňava;Jovice; ;Jovice;;;;751;371;380;149;494;108;328;3;80;99;49;180;199;22;173;733;149;307;8;808;560049;;2228440;základná sídelná jednotka;;;
11280;Košický;Rožňava;Kečovo;;;;1358;24;324;161;163;42;221;61;172;3;40;38;37;108;108;0;106;296;78;140;8;808;525821;;;obec;;;
11281;Košický;Rožňava;Kečovo; ;Kečovo;;;;324;161;163;42;221;61;172;3;40;38;37;108;108;0;106;296;78;140;8;808;525821;;2237600;základná sídelná jednotka;;;
11282;Košický;Rožňava;Kobeliarovo;;;;1203;41;493;243;250;156;285;52;156;8;30;33;26;79;83;5;76;484;65;182;8;808;525839;;;obec;;;
11283;Košický;Rožňava;Kobeliarovo; ;Kobeliarovo;;;;493;243;250;156;285;52;156;8;30;33;26;79;83;5;76;484;65;182;8;808;525839;;2249790;základná sídelná jednotka;;;
11284;Košický;Rožňava;Koceľovce;;;;696;33;231;110;121;40;153;38;118;7;27;18;18;61;66;0;65;216;47;95;8;808;525847;;;obec;;;
11285;Košický;Rožňava;Koceľovce; ;Koceľovce;;;;231;110;121;40;153;38;118;7;27;18;18;61;66;0;65;216;47;95;8;808;525847;;2250110;základná sídelná jednotka;;;
11286;Košický;Rožňava;Kováčová;;;;1382;4;57;27;30;2;43;12;33;3;7;9;8;27;27;0;27;62;19;34;8;808;525855;;;obec;;;
11287;Košický;Rožňava;Kováčová; ;Kováčová;;;;57;27;30;2;43;12;33;3;7;9;8;27;27;0;27;62;19;34;8;808;525855;;2277900;základná sídelná jednotka;;;
11288;Košický;Rožňava;Krásnohorská Dlhá Lúka;;;;1402;50;700;341;359;106;472;122;376;18;73;115;70;206;215;11;199;661;167;288;8;808;525863;;;obec;;;
11289;Košický;Rožňava;Krásnohorská Dlhá Lúka; ;Krásnohorská Dlhá Lúka;;;;700;341;359;106;472;122;376;18;73;115;70;206;215;11;199;661;167;288;8;808;525863;;2287020;základná sídelná jednotka;;;
11290;Košický;Rožňava;Krásnohorské Podhradie;;;m;2320;120;2 793;1 384;1 409;643;1 861;289;1 252;21;246;256;193;515;522;6;509;2 639;372;1 029;8;808;525871;;;obec;;;
11291;Košický;Rožňava;Krásnohorské Podhradie; ;Krásnohorské Podhradie;;;;1 835;909;926;312;1 263;260;931;20;188;238;179;463;469;6;456;1 598;339;679;8;808;525871;;2287370;základná sídelná jednotka;;;
11292;Košický;Rožňava;Krásnohorské Podhradie; ;Rómska osada;;;;958;475;483;331;598;29;321;1;58;18;14;52;53;0;53;1 041;45;350;8;808;525871;;2287290;základná sídelná jednotka;;;
11293;Košický;Rožňava;Kružná;;;;690;68;469;247;222;50;336;83;235;16;48;71;34;139;140;0;139;449;120;192;8;808;560065;;;obec;;;
11294;Košický;Rožňava;Kružná; ;Kružná;;;;469;247;222;50;336;83;235;16;48;71;34;139;140;0;139;449;120;192;8;808;560065;;2296520;základná sídelná jednotka;;;
11295;Košický;Rožňava;Kunova Teplica;;;;841;87;730;364;366;138;507;85;332;3;63;55;59;143;196;59;130;646;103;295;8;808;525898;;;obec;;;
11296;Košický;Rožňava;Kunova Teplica; ;Kunova Teplica;;;;730;364;366;138;507;85;332;3;63;55;59;143;196;59;130;646;103;295;8;808;525898;;2298900;základná sídelná jednotka;;;
11297;Košický;Rožňava;Lipovník;;;;1272;42;537;282;255;78;350;109;282;6;51;92;50;179;180;2;171;483;133;217;8;808;525910;;;obec;;;
11298;Košický;Rožňava;Lipovník; ;Lipovník;;;;537;282;255;78;350;109;282;6;51;92;50;179;180;2;171;483;133;217;8;808;525910;;2323860;základná sídelná jednotka;;;
11299;Košický;Rožňava;Lúčka;;;;1494;12;180;89;91;12;135;33;97;2;16;23;13;61;66;6;60;168;32;84;8;808;525936;;;obec;;;
11300;Košický;Rožňava;Lúčka; ;Lúčka;;;;180;89;91;12;135;33;97;2;16;23;13;61;66;6;60;168;32;84;8;808;525936;;2339940;základná sídelná jednotka;;;
11301;Košický;Rožňava;Markuška;;;;681;22;150;74;76;24;91;35;70;4;11;14;4;35;39;3;33;144;19;65;8;808;525952;;;obec;;;
11302;Košický;Rožňava;Markuška; ;Markuška;;;;150;74;76;24;91;35;70;4;11;14;4;35;39;3;33;144;19;65;8;808;525952;;2360980;základná sídelná jednotka;;;
11303;Košický;Rožňava;Meliata;;;;1449;13;183;88;95;17;139;27;110;8;24;13;21;60;60;0;59;151;35;68;8;808;525961;;;obec;;;
11304;Košický;Rožňava;Meliata; ;Meliata;;;;183;88;95;17;139;27;110;8;24;13;21;60;60;0;59;151;35;68;8;808;525961;;2366830;základná sídelná jednotka;;;
11305;Košický;Rožňava;Nižná Slaná;;;;1894;64;1 204;601;603;245;791;168;507;31;84;107;79;240;350;118;229;1 101;160;498;8;808;526045;;;obec;;;
